CLASE;TIEMPO
U_SALIENTES;37,947823
U_ENTRANTES;91,254410
U_SALIENTES;35,157211
U_SALIENTES;24,454815
U_SALIENTES;55,168194
U_ENTRANTES;58,124065
U_ENTRANTES;98,739914
U_ENTRANTES;114,286415
U_ENTRANTES;83,276566
U_SALIENTES;34,074360
U_ENTRANTES;47,401535
U_SALIENTES;30,675138
U_ENTRANTES;68,240219
U_SALIENTES;35,852898
U_SALIENTES;48,495129
U_ENTRANTES;61,564213
U_ENTRANTES;62,624687
U_SALIENTES;60,804688
U_ENTRANTES;52,003731
U_ENTRANTES;52,494492
U_ENTRANTES;54,037422
U_SALIENTES;9,165616
U_ENTRANTES;73,243248
U_ENTRANTES;64,410614
U_SALIENTES;28,011101
U_ENTRANTES;75,735680
U_SALIENTES;31,893557
U_SALIENTES;44,191330
U_SALIENTES;69,966393
U_SALIENTES;35,120136
U_ENTRANTES;39,991615
TRIPULACION;52,014442
U_SALIENTES;22,778994
U_ENTRANTES;59,511303
U_SALIENTES;25,784277
U_ENTRANTES;57,863155
U_SALIENTES;33,706108
U_ENTRANTES;68,410065
U_ENTRANTES;47,361687
U_SALIENTES;22,440056
U_ENTRANTES;56,110348
U_ENTRANTES;85,509354
U_SALIENTES;45,695152
U_SALIENTES;29,861095
U_SALIENTES;22,152775
U_ENTRANTES;48,206257
U_SALIENTES;42,063217
U_ENTRANTES;73,388725
U_SALIENTES;20,361925
U_SALIENTES;38,118961
U_ENTRANTES;55,846760
U_SALIENTES;29,335056
U_SALIENTES;23,190739
U_SALIENTES;24,477026
U_SALIENTES;38,026005
U_SALIENTES;18,422010
U_SALIENTES;17,917601
U_ENTRANTES;85,124763
U_ENTRANTES;64,822273
U_ENTRANTES;62,716816
U_ENTRANTES;61,565407
U_SALIENTES;21,906500
U_SALIENTES;56,496456
U_SALIENTES;60,342113
U_SALIENTES;36,880093
U_ENTRANTES;73,691643
U_SALIENTES;32,109917
U_ENTRANTES;63,599648
U_ENTRANTES;70,259697
U_ENTRANTES;81,622948
U_SALIENTES;38,300365
U_ENTRANTES;34,214657
U_SALIENTES;33,699791
U_SALIENTES;27,775555
U_SALIENTES;44,065792
U_ENTRANTES;46,667305
U_SALIENTES;31,063284
U_ENTRANTES;86,845024
U_SALIENTES;22,921247
U_SALIENTES;39,301445
U_SALIENTES;32,232841
U_ENTRANTES;57,061768
U_ENTRANTES;55,453133
U_SALIENTES;75,649818
U_SALIENTES;66,361870
U_SALIENTES;38,916023
U_ENTRANTES;39,868607
U_ENTRANTES;53,147751
U_ENTRANTES;69,266258
U_ENTRANTES;70,899925
U_SALIENTES;21,748640
U_ENTRANTES;50,177158
U_ENTRANTES;73,570221
U_ENTRANTES;43,127590
U_ENTRANTES;40,430035
U_SALIENTES;12,184255
U_SALIENTES;29,789942
U_SALIENTES;22,513433
U_SALIENTES;34,228931
U_SALIENTES;30,201567
U_ENTRANTES;61,244770
U_ENTRANTES;46,773655
U_ENTRANTES;49,204815
U_SALIENTES;45,551373
U_SALIENTES;38,963955
U_SALIENTES;45,795914
U_SALIENTES;49,872978
U_ENTRANTES;48,165493
U_ENTRANTES;54,050549
U_SALIENTES;25,862274
U_SALIENTES;27,591312
U_SALIENTES;33,309334
U_ENTRANTES;67,616051
U_ENTRANTES;68,414017
U_SALIENTES;25,547117
U_SALIENTES;28,969446
U_ENTRANTES;51,494610
U_ENTRANTES;59,311836
U_SALIENTES;83,360809
U_SALIENTES;54,909607
U_SALIENTES;27,711321
U_SALIENTES;44,064369
U_ENTRANTES;50,601036
U_ENTRANTES;56,374008
U_ENTRANTES;63,665031
U_SALIENTES;25,680244
U_ENTRANTES;37,862469
U_ENTRANTES;64,433380
U_ENTRANTES;74,337914
U_SALIENTES;38,443905
U_ENTRANTES;55,512287
U_ENTRANTES;60,287659
U_SALIENTES;29,509024
U_SALIENTES;43,084057
U_SALIENTES;42,677814
U_SALIENTES;24,711149
U_SALIENTES;39,331787
